id,name,latitude,longitude,state,city,start_month,start_month_num,year
site_5105,"Udyogamandal, Eloor - Kerala PCB",10.073232,76.30276500000001,Kerala,Eloor,May,5,2019
site_5272,"Kacheripady, Ernakulam - Kerala PCB",9.985653,76.28134200000001,Kerala,Ernakulam,January,1,2020
site_5276,"Thavakkara, Kannur - Kerala PCB",11.875,75.3732,Kerala,Kannur,February,2,2020
site_5270,"Vyttila, Kochi - Kerala PCB",9.969447,76.321186,Kerala,Kochi,January,1,2020
site_5334,"Polayathode, Kollam - Kerala PCB",8.8787,76.6073,Kerala,Kollam,February,2,2020
site_5271,"Palayam, Kozhikode - Kerala PCB",11.249077,75.784371,Kerala,Kozhikode,January,1,2020
site_5331,"Kariavattom, Thiruvananthapuram - Kerala PCB",8.5637,76.8865,Kerala,Thiruvananthapuram,February,2,2020
site_252,"Plammoodu, Thiruvananthapuram - Kerala PCB",8.514909300000001,76.94358790000001,Kerala,Thiruvananthapuram,June,6,2017
site_5390,"Corporation Ground, Thrissur - Kerala PCB",10.5324,76.2159,Kerala,Thrissur,October,10,2020
site_5247,"T T Nagar, Bhopal - MPPCB",23.233584,77.400574,Madhya Pradesh,Bhopal,September,9,2019
site_5650,"Paryavaran Parisar, Bhopal - MPPCB",23.210494,77.425409,Madhya Pradesh,Bhopal,September,9,2022
site_5708,"Idgah Hills, Bhopal - MPPCB",23.264758999999998,77.381568,Madhya Pradesh,Bhopal,February,2,2023
site_5040,"Shrivastav Colony, Damoh - MPPCB",23.81748678,79.446246,Madhya Pradesh,Damoh,December,12,2018
site_1404,"Bhopal Chauraha, Dewas - MPPCB",22.9682591,76.06411800000001,Madhya Pradesh,Dewas,November,11,2017
site_5273,"City Center, Gwalior - MPPCB",26.203442000000003,78.193251,Madhya Pradesh,Gwalior,January,1,2020
site_5275,"Phool Bagh, Gwalior - Mondelez Ind. Food",26.210535999999998,78.171,Madhya Pradesh,Gwalior,January,1,2020
site_5661,"Maharaj Bada, Gwalior - MPPCB",26.200388,78.14771400000001,Madhya Pradesh,Gwalior,October,10,2022
site_5667,"Deen Dayal Nagar, Gwalior - MPPCB",26.259241999999997,78.216432,Madhya Pradesh,Gwalior,December,12,2022
site_5248,"Chhoti Gwaltoli, Indore - MPPCB",22.430999999999997,75.5213,Madhya Pradesh,Indore,September,9,2019
site_5709,"Vijay Nagar Scheme-78, Indore - Glenmark",22.76726,75.8871,Madhya Pradesh,Indore,March,3,2023
site_5249,"Marhatal, Jabalpur - MPPCB",23.168606,79.932247,Madhya Pradesh,Jabalpur,September,9,2019
site_5250,"Gole Bazar, Katni - MPPCB",23.50016,80.23284,Madhya Pradesh,Katni,September,9,2019
site_5068,"Sahilara, Maihar - KJS Cements",24.2613009,80.7231783,Madhya Pradesh,Maihar,February,2,2019
site_1403,"Sector-D Industrial Area, Mandideep - MPPCB",23.108439999999998,77.51142800000001,Madhya Pradesh,Mandideep,January,1,2018
site_1402,"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.67523800000001,Madhya Pradesh,Pithampur,November,11,2017
site_5042,"Shasthri Nagar, Ratlam - IPCA Lab",23.331731,75.04598100000001,Madhya Pradesh,Ratlam,December,12,2018
site_5269,"Deen Dayal Nagar, Sagar - MPPCB",23.8640158,78.80289321,Madhya Pradesh,Sagar,January,1,2020
site_5662,"Civil Lines, Sagar - MPPCB",23.838586,78.759431,Madhya Pradesh,Sagar,October,10,2022
site_1433,"Bandhavgar Colony, Satna - Birla Cement",24.58434363,80.85494140000002,Madhya Pradesh,Satna,February,2,2018
site_1401,"Suryakiran Bhawan NCL, Singrauli - MPPCB",24.108970000000003,82.64558000000001,Madhya Pradesh,Singrauli,December,12,2017
site_1400,"Mahakaleshwar Temple, Ujjain - MPPCB",23.182719,75.768218,Madhya Pradesh,Ujjain,November,11,2017
site_198,"More Chowk Waluj, Aurangabad - MPCB",19.838943899999997,75.24444799999999,Maharashtra,Aurangabad,September,9,2017
site_271,"Chauhan Colony, Chandrapur - MPCB",19.9629,79.298714,Maharashtra,Chandrapur,June,6,2015
site_295,"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.23370859999999,Maharashtra,Chandrapur,August,8,2016
site_5118,"Khadakpada, Kalyan - MPCB",19.25292,73.14201899999999,Maharashtra,Kalyan,June,6,2019
site_5768,"Shivaji University, Kolhapur - MPCB",16.6870449,74.2505872,Maharashtra,Kolhapur,April,4,2023
site_5769,"Sinchan Bhavan, Kolhapur - MPCB",16.714374499999998,74.24263979999999,Maharashtra,Kolhapur,April,4,2023
